-32768	12
-32512	22
-32256	45
-32000	39
-31744	39
-31488	36
-31232	50
-30976	40
-30720	47
-30464	46
-30208	49
-29952	70
-29696	55
-29440	48
-29184	54
-28928	50
-28672	67
-28416	87
-28160	73
-27904	68
-27648	59
-27392	82
-27136	96
-26880	91
-26624	98
-26368	81
-26112	99
-25856	97
-25600	136
-25344	109
-25088	115
-24832	100
-24576	130
-24320	130
-24064	155
-23808	169
-23552	189
-23296	201
-23040	200
-22784	201
-22528	216
-22272	238
-22016	272
-21760	295
-21504	308
-21248	309
-20992	363
-20736	359
-20480	377
-20224	394
-19968	390
-19712	467
-19456	465
-19200	481
-18944	558
-18688	583
-18432	606
-18176	611
-17920	689
-17664	760
-17408	853
-17152	846
-16896	876
-16640	887
-16384	962
-16128	1000
-15872	1113
-15616	1060
-15360	1160
-15104	1304
-14848	1267
-14592	1325
-14336	1420
-14080	1471
-13824	1494
-13568	1604
-13312	1644
-13056	1811
-12800	1950
-12544	1897
-12288	2036
-12032	2226
-11776	2192
-11520	2391
-11264	2344
-11008	2472
-10752	2606
-10496	2744
-10240	2785
-9984	2921
-9728	2997
-9472	3178
-9216	3375
-8960	3327
-8704	3582
-8448	3695
-8192	3785
-7936	3805
-7680	3939
-7424	4089
-7168	4230
-6912	4294
-6656	4459
-6400	4528
-6144	4679
-5888	4791
-5632	4847
-5376	5029
-5120	5233
-4864	5218
-4608	5449
-4352	5446
-4096	5679
-3840	5615
-3584	5753
-3328	5826
-3072	5942
-2816	6090
-2560	5904
-2304	6260
-2048	6067
-1792	6215
-1536	6382
-1280	6403
-1024	6513
-768	6586
-512	6408
-256	6503
0	542072
256	6512
512	6516
768	6374
1024	6372
1280	6380
1536	6459
1792	6321
2048	6420
2304	6358
2560	6334
2816	6338
3072	6274
3328	6091
3584	5923
3840	5907
4096	5921
4352	5900
4608	5692
4864	5580
5120	5510
5376	5299
5632	5244
5888	5107
6144	5050
6400	4926
6656	4719
6912	4700
7168	4558
7424	4321
7680	4350
7936	4146
8192	3920
8448	3718
8704	3664
8960	3560
9216	3465
9472	3320
9728	3209
9984	2971
10240	2874
10496	2904
10752	2723
11008	2678
11264	2437
11520	2373
11776	2198
12032	2135
12288	2062
12544	1917
12800	1825
13056	1781
13312	1699
13568	1606
13824	1523
14080	1498
14336	1396
14592	1324
14848	1247
15104	1184
15360	1011
15616	1021
15872	998
16128	942
16384	852
16640	795
16896	761
17152	731
17408	659
17664	642
17920	650
18176	546
18432	525
18688	486
18944	496
19200	490
19456	406
19712	383
19968	371
20224	369
20480	348
20736	286
20992	282
21248	268
21504	277
21760	245
22016	204
22272	196
22528	182
22784	179
23040	171
23296	164
23552	145
23808	129
24064	143
24320	137
24576	130
24832	116
25088	103
25344	119
25600	92
25856	81
26112	93
26368	67
26624	85
26880	59
27136	67
27392	67
27648	61
27904	72
28160	61
28416	57
28672	52
28928	54
29184	40
29440	51
29696	49
29952	51
30208	42
30464	22
30720	40
30976	34
31232	33
31488	39
31744	41
32000	37
32256	23
32512	29
